Player,year_start,year_end
Jawun Evans,2018,2018
Jeremy Evans,2011,2016
Maurice Evans,2002,2012
Reggie Evans,2003,2015
Tyreke Evans,2010,2018
Daniel Ewing,2006,2007
Patrick Ewing,2011,2011
Dante Exum,2015,2017
Christian Eyenga,2011,2012
Festus Ezeli,2013,2016
Kenneth Faried,2012,2018
Jordan Farmar,2007,2017
Desmon Farmer,2007,2009
Tony Farmer,1998,2000
Vitor Faverani,2014,2014
Derrick Favors,2011,2018
Nick Fazekas,2008,2008
Jamie Feick,1997,2001
Kay Felder,2017,2018
Cristiano Felicio,2016,2018
Carrick Felix,2014,2014
Noel Felix,2006,2006
Raymond Felton,2006,2018
Desmond Ferguson,2004,2004
Terrance Ferguson,2018,2018
Rudy Fernandez,2009,2012
Yogi Ferrell,2017,2018
Danny Ferry,1991,2003
Kyrylo Fesenko,2008,2012
Landry Fields,2011,2015
Michael Finley,1996,2010
Dorian Finney-Smith,2017,2018
Matt Fish,1995,1997
Derek Fisher,1997,2014
Gerald Fitch,2006,2006
Marcus Fizer,2001,2006
Luis Flores,2005,2005
Jonny Flynn,2010,2012
Isaac Fontaine,2002,2002
Jeff Foote,2012,2012
Bryn Forbes,2017,2018
Gary Forbes,2011,2012
Alphonso Ford,1994,1995
Alton Ford,2002,2004
Sharrod Ford,2006,2006
Sherell Ford,1996,1996
T.J. Ford,2004,2012
Joseph Forte,2002,2003
