,Player,year_start,year_end
1467,Vladimir Radmanovic,2002,2013
1468,Aleksandar Radojevic,2000,2005
1469,Miroslav Raduljica,2014,2015
1470,Igor Rakocevic,2003,2003
1471,Peter John Ramos,2005,2005
1472,Mark Randall,1992,1995
1473,Chasson Randle,2017,2017
1474,Julius Randle,2015,2018
1475,Anthony Randolph,2009,2014
1476,Shavlik Randolph,2006,2015
1477,Zach Randolph,2002,2018
1478,Theo Ratliff,1996,2011
1479,Andy Rautins,2011,2011
1480,Allan Ray,2007,2007
1481,Zeljko Rebraca,2002,2006
1482,Eldridge Recasner,1995,2002
1483,Michael Redd,2001,2012
1484,J.J. Redick,2007,2018
1485,Justin Reed,2005,2007
1486,Willie Reed,2016,2018
1487,Bryant Reeves,1996,2001
1488,Khalid Reeves,1995,2000
1489,Don Reid,1996,2003
1490,Ryan Reid,2012,2012
1491,Jared Reiner,2005,2007
1492,Terrence Rencher,1996,1996
1493,Efthimi Rentzias,2003,2003
1494,Shawn Respert,1996,1999
1495,Rodrick Rhodes,1998,2000
1496,Glen Rice,2014,2015
1497,Chris Richard,2008,2010
1498,Jason Richardson,2002,2015
1499,Jeremy Richardson,2007,2009
1500,Josh Richardson,2016,2018
1501,Malachi Richardson,2017,2018
1502,Norm Richardson,2002,2002
1503,Quentin Richardson,2001,2013
1504,Isaiah Rider,1994,2002
1505,Luke Ridnour,2004,2015
1506,Antoine Rigaudeau,2003,2003
1507,Eric Riley,1994,1999
1508,Austin Rivers,2013,2018
1509,Andre Roberson,2014,2018
1510,Anthony Roberson,2006,2009
1511,Terrance Roberson,2001,2001
1512,Brian Roberts,2013,2017
1513,Lawrence Roberts,2006,2007
1514,Stanley Roberts,1992,2000
1515,Ryan Robertson,2000,2000
1516,Bernard Robinson,2005,2007
1517,Chris Robinson,1997,1998
1518,Eddie Robinson,2000,2004
1519,Glenn Robinson,1995,2005
1521,Jamal Robinson,2001,2001
1522,James Robinson,1994,2001
1523,Larry Robinson,1991,2002
1524,Nate Robinson,2006,2016
1525,Rumeal Robinson,1991,1997
1526,Thomas Robinson,2013,2017
1527,Sergio Rodriguez,2007,2017
1528,Lou Roe,1996,1997
1529,Carlos Rogers,1995,2002
1530,Rodney Rogers,1994,2005
1531,Roy Rogers,1997,2000
1532,Rajon Rondo,2007,2018
1533,Sean Rooks,1993,2004
1534,Derrick Rose,2009,2018
1535,Jalen Rose,1995,2007
1536,Malik Rose,1997,2009
1537,Quinton Ross,2005,2011
1538,Terrence Ross,2013,2018
1539,Brandon Roy,2007,2013
1540,Clifford Rozier,1995,1998
1541,Terry Rozier,2016,2018
1542,Ricky Rubio,2012,2018
1543,Guy Rucker,2003,2003
1544,Damjan Rudez,2015,2017
1545,Michael Ruffin,2000,2009
1546,Trevor Ruffin,1995,1996
1547,Stefano Rusconi,1996,1996
1548,Brandon Rush,2009,2017
1549,Kareem Rush,2003,2010
1550,Bryon Russell,1994,2006
1551,D'Angelo Russell,2016,2018
1552,Walker Russell,2012,2012
1553,Arvydas Sabonis,1996,2003
1554,Domantas Sabonis,2017,2018
1555,Robert Sacre,2013,2016
1556,John Salmons,2003,2015
1557,Kevin Salvadori,1997,1998
1558,Soumaila Samake,2001,2003
1559,Cheikh Samb,2008,2009
1560,JaKarr Sampson,2015,2018
1561,Jamal Sampson,2003,2007
1562,Samardo Samuels,2011,2013
1563,Pepe Sanchez,2001,2003
1564,Larry Sanders,2011,2017
1565,Melvin Sanders,2006,2006
1566,Daniel Santiago,2001,2005
1567,Dario Saric,2017,2018
1568,Jason Sasser,1997,1999
1569,Jeryl Sasser,2002,2003
1570,Tomas Satoransky,2017,2018
1571,Kenny Satterfield,2002,2003
1572,Predrag Savovic,2003,2003
1573,Brian Scalabrine,2002,2012
1574,Alex Scales,2006,2006
1575,Steve Scheffler,1991,1997
1576,Luke Schenscher,2006,2007
1577,Dwayne Schintzius,1991,1999
1578,Dennis Schroder,2014,2018
1579,Luis Scola,2008,2017
1580,Brent Scott,1997,1997
1581,Dennis Scott,1991,2000
1582,James Scott,1997,1997
1583,Mike Scott,2013,2018
1584,Shawnelle Scott,1997,2002
1585,Shea Seals,1998,1998
1586,Malik Sealy,1993,2000
1587,Thabo Sefolosha,2007,2018
1588,Josh Selby,2012,2013
1589,Wayne Selden,2017,2018
1590,Mouhamed Sene,2007,2009
1591,Kevin Seraphin,2011,2017
1592,Ansu Sesay,2002,2005
1593,Ramon Sessions,2008,2018
1594,Ha Seung-Jin,2005,2006
1595,Mustafa Shakur,2011,2014
1596,God Shammgod,1998,1998
1597,Walter Sharpe,2009,2009
1598,Casey Shaw,1999,1999
1599,Tornike Shengelia,2013,2014
1600,Jeffrey Sheppard,1999,1999
1601,Paul Shirley,2003,2005
1602,Iman Shumpert,2012,2018
1603,Alexey Shved,2013,2015
1604,Pascal Siakam,2017,2018
1605,Xavier Silas,2012,2012
1606,Garret Siler,2011,2011
1607,Wayne Simien,2006,2007
1608,Ben Simmons,2018,2018
1609,Bobby Simmons,2002,2012
1610,Cedric Simmons,2007,2009
1611,Jonathon Simmons,2016,2018
1612,Kobi Simmons,2018,2018
1613,Lionel Simmons,1991,1997
1614,Miles Simon,1999,1999
1615,Dickey Simpkins,1995,2002
1616,Alvin Sims,1999,1999
1617,Courtney Sims,2008,2009
1618,Henry Sims,2013,2016
1619,Kyle Singler,2013,2018
1620,Sean Singletary,2009,2009
1621,Chris Singleton,2012,2014
1622,James Singleton,2006,2012
1623,Peyton Siva,2014,2014
1624,Brian Skinner,1999,2012
1625,Reggie Slater,1995,2003
1626,Tamar Slay,2003,2005
1627,Donald Sloan,2012,2016
1628,Uros Slokar,2007,2007
1629,Marcus Smart,2015,2018
1630,Charles Smith,1998,2006
1633,Craig Smith,2007,2012
1634,Dennis Smith,2018,2018
1635,Donta Smith,2005,2006
1636,Doug Smith,1992,1996
1637,Greg Smith,2012,2016
1638,Ish Smith,2011,2018
1639,J.R. Smith,2005,2018
1640,Jabari Smith,2001,2005
1641,Jason Smith,2008,2018
1642,Jerry Smith,2012,2012
1643,Joe Smith,1996,2011
1644,Josh Smith,2005,2018
1645,LaBradford Smith,1992,1994
1646,Leon Smith,2002,2004
1647,Michael Smith,1995,2001
1648,Mike Smith,2001,2001
1649,Nolan Smith,2012,2013
1650,Reggie Smith,1993,1994
1651,Russ Smith,2015,2016
1652,Steve Smith,1992,2005
1653,Steven Smith,2007,2007
1654,Stevin Smith,1997,1997
1655,Theron Smith,2004,2005
1656,Tony Smith,1991,2001
1657,Tony Snell,2014,2018
1658,Eric Snow,1996,2008
1659,Kirk Snyder,2005,2008
1660,Will Solomon,2002,2009
1661,Darius Songaila,2004,2011
1662,James Southerland,2014,2014
1663,Pape Sow,2005,2007
1664,Vassilis Spanoulis,2007,2007
1665,Marreese Speights,2009,2018
1666,Andre Spencer,1993,1994
1667,Elmore Spencer,1993,1997
1668,Felton Spencer,1991,2002
1669,Tiago Splitter,2011,2017
1670,Latrell Sprewell,1993,2005
1671,Ryan Stack,1999,2000
1672,Jerry Stackhouse,1996,2013
1673,Nik Stauskas,2015,2018
1674,Matt Steigenga,1997,1997
1675,Vladimir Stepania,1999,2004
1676,D.J. Stephens,2014,2014
1677,Joe Stephens,1997,2000
1678,Lance Stephenson,2011,2018
1679,Alex Stepheson,2016,2016
1680,Barry Stevens,1993,1993
1681,DeShawn Stevenson,2001,2013
1682,Kebu Stewart,1998,1998
1683,Larry Stewart,1992,1997
1684,Michael Stewart,1998,2005
1685,Greg Stiemsma,2012,2015
1686,Bryant Stith,1993,2002
1687,David Stockton,2015,2015
1688,Peja Stojakovic,1999,2011
1689,Ed Stokes,1998,1998
1690,Jarnell Stokes,2015,2017
1691,Diamond Stone,2017,2017
1692,Julyan Stone,2012,2018
