Player,Year,Team, Salary 
Mile Ilic,2007,New Jersey Nets,"  800,000 "
Scott Padgett,2007,New Jersey Nets,"  563,302 "
Hassan Adams,2007,New Jersey Nets,"  412,718 "
Zoran Planinic,2007,New Jersey Nets,"  150,000 "
Peja Stojakovic,2007,New Orleans Hornets,"  10,800,000 "
Tyson Chandler,2007,New Orleans Hornets,"  9,150,000 "
Desmond Mason,2007,New Orleans Hornets,"  8,037,037 "
Bobby Jackson,2007,New Orleans Hornets,"  5,259,000 "
Marc Jackson,2007,New Orleans Hornets,"  4,875,000 "
Marcus Williams,2007,New Jersey Nets,"  1,097,880 "
Eddie Griffin,2007,Minnesota Timberwolves,"  2,700,000 "
Trenton Hassell,2007,Minnesota Timberwolves,"  4,350,000 "
Mike James,2007,Minnesota Timberwolves,"  5,215,000 "
Raja Bell,2007,Phoenix Suns,"  4,500,000 "
Robert Hite,2007,Miami Heat,"  412,718 "
Derek Anderson,2007,Miami Heat,"  400,000 "
Mike Gansey,2007,Miami Heat,"  150,000 "
Vincent Grier,2007,Miami Heat,"  70,000 "
Michael Redd,2007,Milwaukee Bucks,"  13,260,000 "
Bobby Simmons,2007,Milwaukee Bucks,"  8,640,000 "
Ruben Patterson,2007,Milwaukee Bucks,"  6,807,000 "
Calvin Booth,2007,Milwaukee Bucks,"  6,629,891 "
Brian Skinner,2007,Milwaukee Bucks,"  5,400,000 "
Dan Gadzuric,2007,Milwaukee Bucks,"  5,252,065 "
Andrew Bogut,2007,Milwaukee Bucks,"  4,665,960 "
Earl Boykins,2007,Milwaukee Bucks,"  2,950,000 "
Charlie Villanueva,2007,Milwaukee Bucks,"  2,537,880 "
Mo Williams,2007,Milwaukee Bucks,"  1,920,000 "
Julius Hodge,2007,Milwaukee Bucks,"  1,234,800 "
Charlie Bell,2007,Milwaukee Bucks,"  744,551 "
Ha Seung-Jin,2007,Milwaukee Bucks,"  744,551 "
Ersan Ilyasova,2007,Milwaukee Bucks,"  664,209 "
Lynn Greer,2007,Milwaukee Bucks,"  664,209 "
Damir Markota,2007,Milwaukee Bucks,"  412,718 "
David Noel,2007,Milwaukee Bucks,"  412,718 "
Jared Reiner,2007,Milwaukee Bucks,"  396,905 "
Chris McCray,2007,Milwaukee Bucks,"  161,061 "
Kevin Garnett,2007,Minnesota Timberwolves,"  21,000,000 "
Mark Blount,2007,Minnesota Timberwolves,"  7,288,165 "
Ricky Davis,2007,Minnesota Timberwolves,"  6,364,400 "
Troy Hudson,2007,Minnesota Timberwolves,"  5,603,000 "
Marko Jaric,2007,Minnesota Timberwolves,"  5,525,000 "
Chris Paul,2007,New Orleans Hornets,"  3,380,160 "
Rasual Butler,2007,New Orleans Hornets,"  3,000,000 "
Daniel Horton,2007,Miami Heat,"  75,000 "
Hilton Armstrong,2007,New Orleans Hornets,"  1,767,600 "
Keyon Dooling,2007,Orlando Magic,"  3,348,000 "
Trevor Ariza,2007,Orlando Magic,"  3,100,000 "
Keith Bogans,2007,Orlando Magic,"  2,510,000 "
J.J. Redick,2007,Orlando Magic,"  1,860,720 "
Jameer Nelson,2007,Orlando Magic,"  1,272,120 "
Bo Outlaw,2007,Orlando Magic,"  1,178,348 "
Mario Kasun,2007,Orlando Magic,"  919,551 "
Travis Diener,2007,Orlando Magic,"  664,209 "
James Augustine,2007,Orlando Magic,"  412,718 "
Chris Webber,2007,Philadelphia 76ers,"  17,600,000 "
Samuel Dalembert,2007,Philadelphia 76ers,"  9,464,307 "
Andre Miller,2007,Philadelphia 76ers,"  8,733,333 "
Joe Smith,2007,Philadelphia 76ers,"  6,807,000 "
Aaron McKie,2007,Philadelphia 76ers,"  5,570,874 "
Kyle Korver,2007,Philadelphia 76ers,"  4,018,182 "
Kevin Ollie,2007,Philadelphia 76ers,"  3,196,050 "
Steven Hunter,2007,Philadelphia 76ers,"  3,024,000 "
Willie Green,2007,Philadelphia 76ers,"  2,800,000 "
Andre Iguodala,2007,Philadelphia 76ers,"  2,201,640 "
Greg Buckner,2007,Philadelphia 76ers,"  1,941,333 "
Rodney Carney,2007,Philadelphia 76ers,"  1,439,760 "
Shavlik Randolph,2007,Philadelphia 76ers,"  1,000,000 "
Lou Williams,2007,Philadelphia 76ers,"  664,209 "
Bobby Jones,2007,Philadelphia 76ers,"  412,718 "
Steven Smith,2007,Philadelphia 76ers,"  161,061 "
Lou Amundson,2007,Philadelphia 76ers,"  105,696 "
Steve Nash,2007,Phoenix Suns,"  10,500,000 "
Amar'e Stoudemire,2007,Phoenix Suns,"  12,455,000 "
David West,2007,New Orleans Hornets,"  2,051,938 "
Pat Garrity,2007,Orlando Magic,"  3,525,000 "
Carlos Arroyo,2007,Orlando Magic,"  4,100,000 "
Shawn Marion,2007,Phoenix Suns,"  15,070,000 "
Darko Milicic,2007,Orlando Magic,"  5,218,622 "
Dwight Howard,2007,Orlando Magic,"  4,806,720 "
Linton Johnson,2007,New Orleans Hornets,"  771,331 "
Brandon Bass,2007,New Orleans Hornets,"  664,209 "
Devin Brown,2007,New Orleans Hornets,"  564,518 "
Arvydas Macijauskas,2007,New Orleans Hornets,"  500,000 "
Marcus Vinicius,2007,New Orleans Hornets,"  412,718 "
Stephon Marbury,2007,New York Knicks,"  17,184,375 "
Steve Francis,2007,New York Knicks,"  15,070,000 "
Jalen Rose,2007,New York Knicks,"  14,601,500 "
Eddy Curry,2007,New York Knicks,"  8,171,103 "
Quentin Richardson,2007,New York Knicks,"  7,525,500 "
Malik Rose,2007,New York Knicks,"  7,525,397 "
Maurice Taylor,2007,New York Knicks,"  7,500,000 "
Shandon Anderson,2007,New York Knicks,"  7,244,726 "
Jannero Pargo,2007,New Orleans Hornets,"  1,000,000 "
Jerome Williams,2007,New York Knicks,"  7,014,400 "
Tony Battie,2007,Orlando Magic,"  5,746,000 "
Jamal Crawford,2007,New York Knicks,"  7,200,000 "
Hedo Turkoglu,2007,Orlando Magic,"  5,883,600 "
Grant Hill,2007,Orlando Magic,"  16,901,500 "
Paul Miller,2007,New York Knicks,"  100,000 "
Mardy Collins,2007,New York Knicks,"  899,880 "
Cedric Simmons,2007,New Orleans Hornets,"  1,515,480 "
Kelvin Cato,2007,New York Knicks,"  1,071,225 "
Jared Jeffries,2007,New York Knicks,"  5,215,000 "
David Lee,2007,New York Knicks,"  926,040 "
Channing Frye,2007,New York Knicks,"  2,325,000 "
Jerome James,2007,New York Knicks,"  5,400,000 "
Nate Robinson,2007,New York Knicks,"  1,185,480 "
Renaldo Balkman,2007,New York Knicks,"  1,191,240 "
Aaron Brooks,2008,Houston Rockets,"  972,720 "
Steve Novak,2008,Houston Rockets,"  687,456 "
Adam Haluska,2008,Houston Rockets,"  427,163 "
Carl Landry,2008,Houston Rockets,"  427,163 "
Luther Head,2008,Houston Rockets,"  1,122,000 "
Troy Murphy,2008,Indiana Pacers,"  9,206,349 "
Mike Dunleavy,2008,Indiana Pacers,"  8,219,008 "
Marquis Daniels,2008,Indiana Pacers,"  6,373,900 "
Jamaal Tinsley,2008,Indiana Pacers,"  6,300,000 "
Jeff Foster,2008,Indiana Pacers,"  5,500,000 "
Ike Diogu,2008,Indiana Pacers,"  2,286,360 "
Jermaine O'Neal,2008,Indiana Pacers,"  19,728,000 "
Travis Diener,2008,Indiana Pacers,"  1,500,000 "
Danny Granger,2008,Indiana Pacers,"  1,516,800 "
Shawne Williams,2008,Indiana Pacers,"  1,470,360 "
Kareem Rush,2008,Indiana Pacers,"  854,957 "
Stephen Graham,2008,Indiana Pacers,"  770,610 "
Courtney Sims,2008,Indiana Pacers,"  112,130 "
Elton Brand,2008,Los Angeles Clippers,"  15,344,000 "
Chris Kaman,2008,Los Angeles Clippers,"  8,600,000 "
Cuttino Mobley,2008,Los Angeles Clippers,"  8,350,000 "
Corey Maggette,2008,Los Angeles Clippers,"  7,000,000 "
Sam Cassell,2008,Los Angeles Clippers,"  6,150,000 "
Tim Thomas,2008,Los Angeles Clippers,"  5,632,200 "
Dikembe Mutombo,2008,Houston Rockets,"  1,219,590 "
Shaun Livingston,2008,Los Angeles Clippers,"  4,404,629 "
David Harrison,2008,Indiana Pacers,"  1,734,316 "
Andre Owens,2008,Indiana Pacers,"  687,456 "
D.J. Mbenga,2008,Golden State Warriors,"  249,478 "
Gerald Green,2008,Houston Rockets,"  1,440,960 "
Adonal Foyle,2008,Golden State Warriors,"  8,937,500 "
Al Harrington,2008,Golden State Warriors,"  8,425,625 "
Stephen Jackson,2008,Golden State Warriors,"  6,630,000 "
Mickael Pietrus,2008,Golden State Warriors,"  3,470,770 "
Matt Barnes,2008,Golden State Warriors,"  3,000,000 "
Andris Biedrins,2008,Golden State Warriors,"  2,636,696 "
Brandan Wright,2008,Golden State Warriors,"  2,323,080 "
Patrick O'Bryant,2008,Golden State Warriors,"  2,216,400 "
Kosta Perovic,2008,Golden State Warriors,"  1,800,000 "
Marco Belinelli,2008,Golden State Warriors,"  1,345,800 "
Austin Croshere,2008,Golden State Warriors,"  1,219,590 "
Troy Hudson,2008,Golden State Warriors,"  1,219,590 "
Monta Ellis,2008,Golden State Warriors,"  770,610 "
Kelenna Azubuike,2008,Golden State Warriors,"  687,456 "
Chris Webber,2008,Golden State Warriors,"  602,173 "
C.J. Watson,2008,Golden State Warriors,"  125,479 "
Stephane Lasme,2008,Golden State Warriors,"  48,056 "
Tracy McGrady,2008,Houston Rockets,"  19,014,187 "
Yao Ming,2008,Houston Rockets,"  13,762,775 "
Shane Battier,2008,Houston Rockets,"  5,883,600 "
Bobby Jackson,2008,Houston Rockets,"  5,670,000 "
Rafer Alston,2008,Houston Rockets,"  4,550,000 "
Bob Sura,2008,Houston Rockets,"  3,840,000 "
Luis Scola,2008,Houston Rockets,"  2,910,000 "
Steve Francis,2008,Houston Rockets,"  2,430,000 "
Jackie Butler,2008,Houston Rockets,"  2,350,000 "
Chuck Hayes,2008,Houston Rockets,"  1,750,000 "
Justin Reed,2008,Houston Rockets,"  1,436,500 "
Aaron Williams,2008,Los Angeles Clippers,"  1,890,000 "
Rudy Gay,2008,Memphis Grizzlies,"  2,411,160 "
Brevin Knight,2008,Los Angeles Clippers,"  1,600,000 "
Casey Jacobsen,2008,Memphis Grizzlies,"  826,269 "
Aaron McKie,2008,Memphis Grizzlies,"  750,000 "
Andre Brown,2008,Memphis Grizzlies,"  711,517 "
Marcus Vinicius,2008,Memphis Grizzlies,"  687,456 "
Juan Carlos Navarro,2008,Memphis Grizzlies,"  538,090 "
Jeremy Richardson,2008,Memphis Grizzlies,"  511,295 "
Tarence Kinsey,2008,Memphis Grizzlies,"  219,533 "
Bobby Jones,2008,Memphis Grizzlies,"  85,932 "
Shawn Marion,2008,Miami Heat,"  16,440,000 "
Dwyane Wade,2008,Miami Heat,"  13,041,250 "
Jason Williams,2008,Miami Heat,"  8,937,500 "
Mark Blount,2008,Miami Heat,"  7,901,040 "
Ricky Davis,2008,Miami Heat,"  6,819,000 "
Udonis Haslem,2008,Miami Heat,"  6,050,000 "
Marcus Banks,2008,Miami Heat,"  3,966,207 "
Alonzo Mourning,2008,Miami Heat,"  2,762,500 "
Smush Parker,2008,Miami Heat,"  2,250,000 "
Dorell Wright,2008,Miami Heat,"  2,040,746 "
Daequan Cook,2008,Miami Heat,"  1,184,400 "
Earl Barron,2008,Miami Heat,"  973,328 "
Alexander Johnson,2008,Miami Heat,"  687,456 "
Chris Quinn,2008,Miami Heat,"  687,456 "
Joel Anthony,2008,Miami Heat,"  427,163 "
Anfernee Hardaway,2008,Miami Heat,"  320,142 "
Luke Jackson,2008,Miami Heat,"  279,415 "
Michael Redd,2008,Milwaukee Bucks,"  14,520,000 "
Baron Davis,2008,Golden State Warriors,"  16,440,000 "
Kyle Lowry,2008,Memphis Grizzlies,"  1,087,680 "
Al Thornton,2008,Los Angeles Clippers,"  1,652,280 "
Javaris Crittenton,2008,Memphis Grizzlies,"  1,285,200 "
Mike Conley,2008,Memphis Grizzlies,"  3,377,160 "
Dan Dickau,2008,Los Angeles Clippers,"  926,678 "
Quinton Ross,2008,Los Angeles Clippers,"  826,046 "
Josh Powell,2008,Los Angeles Clippers,"  800,000 "
Paul Davis,2008,Los Angeles Clippers,"  687,456 "
Richie Frahm,2008,Los Angeles Clippers,"  623,694 "
Ruben Patterson,2008,Los Angeles Clippers,"  304,897 "
Guillermo Diaz,2008,Los Angeles Clippers,"  56,065 "
Kobe Bryant,2008,Los Angeles Lakers,"  19,490,625 "
Pau Gasol,2008,Los Angeles Lakers,"  13,735,000 "
Lamar Odom,2008,Los Angeles Lakers,"  13,248,596 "
Vladimir Radmanovic,2008,Los Angeles Lakers,"  5,632,200 "
Derek Fisher,2008,Los Angeles Lakers,"  4,350,000 "
Luke Walton,2008,Los Angeles Lakers,"  4,000,000 "
Trevor Ariza,2008,Los Angeles Lakers,"  3,100,000 "
Chris Mihm,2008,Los Angeles Lakers,"  2,500,000 "
Andrew Bynum,2008,Los Angeles Lakers,"  2,172,000 "
Sasha Vujacic,2008,Los Angeles Lakers,"  1,756,951 "
Jordan Farmar,2008,Los Angeles Lakers,"  1,009,560 "
Ronny Turiaf,2008,Los Angeles Lakers,"  770,610 "
D.J. Mbenga,2008,Los Angeles Lakers,"  434,091 "
Coby Karl,2008,Los Angeles Lakers,"  427,163 "
Kwame Brown,2008,Memphis Grizzlies,"  9,075,000 "
Mike Miller,2008,Memphis Grizzlies,"  8,376,194 "
Darko Milicic,2008,Memphis Grizzlies,"  6,500,000 "
Jason Collins,2008,Memphis Grizzlies,"  6,100,000 "
Brian Cardinal,2008,Memphis Grizzlies,"  5,850,000 "
Damon Stoudamire,2008,Memphis Grizzlies,"  4,350,000 "
Hakim Warrick,2008,Memphis Grizzlies,"  1,376,040 "
Cheikh Samb,2008,Detroit Pistons,"  427,163 "
JamesOn Curry,2008,Chicago Bulls,"  427,163 "
Arron Afflalo,2008,Detroit Pistons,"  944,520 "
Matt Carroll,2008,Charlotte Bobcats,"  5,450,000 "
Emeka Okafor,2008,Charlotte Bobcats,"  5,427,307 "
Adam Morrison,2008,Charlotte Bobcats,"  3,887,880 "
Raymond Felton,2008,Charlotte Bobcats,"  3,274,440 "
Othella Harrington,2008,Charlotte Bobcats,"  2,376,000 "
Sean May,2008,Charlotte Bobcats,"  1,862,160 "
Derek Anderson,2008,Charlotte Bobcats,"  1,219,590 "
Jeff McInnis,2008,Charlotte Bobcats,"  1,219,590 "
Jared Dudley,2008,Charlotte Bobcats,"  1,137,000 "
Ryan Hollins,2008,Charlotte Bobcats,"  687,456 "
Earl Boykins,2008,Charlotte Bobcats,"  533,572 "
Jermareo Davidson,2008,Charlotte Bobcats,"  427,163 "
Nazr Mohammed,2008,Charlotte Bobcats,"  5,632,200 "
Larry Hughes,2008,Chicago Bulls,"  12,000,084 "
Andres Nocioni,2008,Chicago Bulls,"  8,500,000 "
Drew Gooden,2008,Chicago Bulls,"  6,453,416 "
Ben Gordon,2008,Chicago Bulls,"  4,881,669 "
Tyrus Thomas,2008,Chicago Bulls,"  3,505,320 "
Luol Deng,2008,Chicago Bulls,"  3,320,339 "
Chris Duhon,2008,Chicago Bulls,"  3,248,000 "
Joakim Noah,2008,Chicago Bulls,"  2,135,400 "
Viktor Khryapa,2008,Chicago Bulls,"  1,928,598 "
Thabo Sefolosha,2008,Chicago Bulls,"  1,805,160 "
Cedric Simmons,2008,Chicago Bulls,"  1,629,120 "
Shannon Brown,2008,Chicago Bulls,"  1,044,120 "
Aaron Gray,2008,Chicago Bulls,"  427,163 "
Kirk Hinrich,2008,Chicago Bulls,"  11,250,000 "
Gerald Wallace,2008,Charlotte Bobcats,"  9,500,000 "
Jason Richardson,2008,Charlotte Bobcats,"  11,111,110 "
Brandon Wallace,2008,Boston Celtics,"  130,819 "
Bobby Simmons,2008,Milwaukee Bucks,"  9,280,000 "
Mike Bibby,2008,Atlanta Hawks,"  13,500,000 "
Joe Johnson,2008,Atlanta Hawks,"  13,488,377 "
Speedy Claxton,2008,Atlanta Hawks,"  6,306,182 "
Marvin Williams,2008,Atlanta Hawks,"  4,466,040 "
Zaza Pachulia,2008,Atlanta Hawks,"  4,000,000 "
Al Horford,2008,Atlanta Hawks,"  3,745,800 "
Josh Childress,2008,Atlanta Hawks,"  3,631,449 "
Josh Smith,2008,Atlanta Hawks,"  2,243,543 "
Acie Law,2008,Atlanta Hawks,"  1,927,080 "
Salim Stoudamire,2008,Atlanta Hawks,"  783,000 "
Solomon Jones,2008,Atlanta Hawks,"  729,000 "
Mario West,2008,Atlanta Hawks,"  427,163 "
Jeremy Richardson,2008,Atlanta Hawks,"  253,499 "
Kevin Garnett,2008,Boston Celtics,"  23,750,000 "
Paul Pierce,2008,Boston Celtics,"  16,360,094 "
Ray Allen,2008,Boston Celtics,"  16,000,000 "
Kendrick Perkins,2008,Boston Celtics,"  4,480,912 "
James Posey,2008,Boston Celtics,"  3,206,000 "
Brian Scalabrine,2008,Boston Celtics,"  3,000,000 "
Tony Allen,2008,Boston Celtics,"  1,868,141 "
Eddie House,2008,Boston Celtics,"  1,500,000 "
Rajon Rondo,2008,Boston Celtics,"  1,229,280 "
Scot Pollard,2008,Boston Celtics,"  1,219,590 "
Leon Powe,2008,Boston Celtics,"  687,456 "
Gabe Pruitt,2008,Boston Celtics,"  650,000 "
Glen Davis,2008,Boston Celtics,"  427,163 "
Demetris Nichols,2008,Chicago Bulls,"  427,163 "
Thomas Gardner,2008,Chicago Bulls,"  101,451 "
Ben Wallace,2008,Cleveland Cavaliers,"  15,500,000 "
LeBron James,2008,Cleveland Cavaliers,"  13,041,250 "
Carmelo Anthony,2008,Denver Nuggets,"  13,041,250 "
Marcus Camby,2008,Denver Nuggets,"  11,250,000 "
Nene Hilario,2008,Denver Nuggets,"  8,840,000 "
Eduardo Najera,2008,Denver Nuggets,"  4,952,380 "
Steven Hunter,2008,Denver Nuggets,"  3,248,000 "
Chucky Atkins,2008,Denver Nuggets,"  3,000,000 "
J.R. Smith,2008,Denver Nuggets,"  2,134,067 "
Anthony Carter,2008,Denver Nuggets,"  1,103,225 "
Linas Kleiza,2008,Denver Nuggets,"  1,011,360 "
Bobby Jones,2008,Denver Nuggets,"  687,456 "
Yakhouba Diawara,2008,Denver Nuggets,"  687,456 "
Taurean Green,2008,Denver Nuggets,"  427,163 "
Mike Wilks,2008,Denver Nuggets,"  162,281 "
Jelani McCoy,2008,Denver Nuggets,"  151,089 "
Rasheed Wallace,2008,Detroit Pistons,"  12,540,000 "
Chauncey Billups,2008,Detroit Pistons,"  10,000,000 "
Richard Hamilton,2008,Detroit Pistons,"  10,000,000 "
Tayshaun Prince,2008,Detroit Pistons,"  8,675,620 "
Antonio McDyess,2008,Detroit Pistons,"  6,373,900 "
Amir Johnson,2008,Detroit Pistons,"  3,666,666 "
Juan Dixon,2008,Detroit Pistons,"  2,550,000 "
Lindsey Hunter,2008,Detroit Pistons,"  2,250,000 "
Walter Herrmann,2008,Detroit Pistons,"  1,944,000 "
Ronald Murray,2008,Detroit Pistons,"  1,890,000 "
Rodney Stuckey,2008,Detroit Pistons,"  1,569,600 "
Jarvis Hayes,2008,Detroit Pistons,"  1,200,000 "
Jason Maxiell,2008,Detroit Pistons,"  1,041,360 "
Kenyon Martin,2008,Denver Nuggets,"  13,250,000 "
Ronald Dupree,2008,Detroit Pistons,"  826,046 "
Allen Iverson,2008,Denver Nuggets,"  19,012,500 "
J.J. Barea,2008,Dallas Mavericks,"  687,456 "
Wally Szczerbiak,2008,Cleveland Cavaliers,"  12,775,000 "
Zydrunas Ilgauskas,2008,Cleveland Cavaliers,"  10,142,156 "
Eric Snow,2008,Cleveland Cavaliers,"  6,703,125 "
Anderson Varejao,2008,Cleveland Cavaliers,"  5,356,000 "
Joe Smith,2008,Cleveland Cavaliers,"  5,200,000 "
Sasha Pavlovic,2008,Cleveland Cavaliers,"  4,250,000 "
Damon Jones,2008,Cleveland Cavaliers,"  4,172,432 "
Delonte West,2008,Cleveland Cavaliers,"  1,889,760 "
Devin Brown,2008,Cleveland Cavaliers,"  1,200,000 "
Dwayne Jones,2008,Cleveland Cavaliers,"  770,610 "
Daniel Gibson,2008,Cleveland Cavaliers,"  687,456 "
Billy Thomas,2008,Cleveland Cavaliers,"  264,897 "
Kaniel Dickens,2008,Cleveland Cavaliers,"  264,897 "
Jason Kidd,2008,Dallas Mavericks,"  19,728,000 "
Michael Finley,2008,Dallas Mavericks,"  18,593,750 "
Dirk Nowitzki,2008,Dallas Mavericks,"  16,360,094 "
Erick Dampier,2008,Dallas Mavericks,"  10,590,500 "
Josh Howard,2008,Dallas Mavericks,"  9,000,000 "
Jason Terry,2008,Dallas Mavericks,"  8,898,000 "
Jerry Stackhouse,2008,Dallas Mavericks,"  6,750,000 "
Devean George,2008,Dallas Mavericks,"  2,369,111 "
Eddie Jones,2008,Dallas Mavericks,"  1,830,000 "
D.J. Mbenga,2008,Dallas Mavericks,"  1,800,000 "
Antoine Wright,2008,Dallas Mavericks,"  1,680,600 "
Juwan Howard,2008,Dallas Mavericks,"  1,211,197 "
Malik Allen,2008,Dallas Mavericks,"  998,398 "
Brandon Bass,2008,Dallas Mavericks,"  770,610 "
Nick Fazekas,2008,Dallas Mavericks,"  427,163 "
Mo Williams,2008,Milwaukee Bucks,"  7,750,000 "
Arvydas Macijauskas,2008,New Orleans Hornets,"  500,000 "
Desmond Mason,2008,Milwaukee Bucks,"  5,000,000 "
Kevin Martin,2008,Sacramento Kings,"  1,808,121 "
Quincy Douby,2008,Sacramento Kings,"  1,333,920 "
Francisco Garcia,2008,Sacramento Kings,"  1,168,800 "
Justin Williams,2008,Sacramento Kings,"  862,456 "
Beno Udrih,2008,Sacramento Kings,"  788,349 "
Dahntay Jones,2008,Sacramento Kings,"  753,767 "
Darryl Watkins,2008,Sacramento Kings,"  109,461 "
Orien Greene,2008,Sacramento Kings,"  77,061 "
Mustafa Shakur,2008,Sacramento Kings,"  5,450 "
Tim Duncan,2008,San Antonio Spurs,"  19,014,188 "
Tony Parker,2008,San Antonio Spurs,"  10,500,000 "
Manu Ginobili,2008,San Antonio Spurs,"  9,079,811 "
Spencer Hawes,2008,Sacramento Kings,"  2,028,600 "
Kurt Thomas,2008,San Antonio Spurs,"  8,091,188 "
Robert Horry,2008,San Antonio Spurs,"  3,630,000 "
Fabricio Oberto,2008,San Antonio Spurs,"  3,600,000 "
Michael Finley,2008,San Antonio Spurs,"  3,103,000 "
Matt Bonner,2008,San Antonio Spurs,"  2,678,000 "
Vassilis Spanoulis,2008,San Antonio Spurs,"  1,944,000 "
Jacque Vaughn,2008,San Antonio Spurs,"  1,219,950 "
Ime Udoka,2008,San Antonio Spurs,"  1,000,000 "
Ian Mahinmi,2008,San Antonio Spurs,"  938,760 "
Damon Stoudamire,2008,San Antonio Spurs,"  556,438 "
Keith Langford,2008,San Antonio Spurs,"  272,316 "
Darius Washington,2008,San Antonio Spurs,"  154,847 "
Jeremy Richardson,2008,San Antonio Spurs,"  85,932 "
Bruce Bowen,2008,San Antonio Spurs,"  4,125,000 "
Anthony Johnson,2008,Sacramento Kings,"  2,860,000 "
Shelden Williams,2008,Sacramento Kings,"  3,174,240 "
Lorenzen Wright,2008,Sacramento Kings,"  3,250,000 "
Sean Marks,2008,Phoenix Suns,"  1,033,930 "
Alando Tucker,2008,Phoenix Suns,"  931,920 "
D.J. Strawberry,2008,Phoenix Suns,"  427,163 "
Linton Johnson,2008,Phoenix Suns,"  283,953 "
Steve Francis,2008,Portland Trailblazers,"  15,070,000 "
Raef LaFrentz,2008,Portland Trailblazers,"  12,440,787 "
Darius Miles,2008,Portland Trailblazers,"  8,250,000 "
Joel Przybilla,2008,Portland Trailblazers,"  5,762,575 "
Greg Oden,2008,Portland Trailblazers,"  4,662,000 "
LaMarcus Aldridge,2008,Portland Trailblazers,"  4,329,360 "
Steve Blake,2008,Portland Trailblazers,"  4,250,000 "
Travis Outlaw,2008,Portland Trailblazers,"  4,000,000 "
Martell Webster,2008,Portland Trailblazers,"  2,974,080 "
James Jones,2008,Portland Trailblazers,"  2,900,000 "
Brandon Roy,2008,Portland Trailblazers,"  2,883,120 "
Channing Frye,2008,Portland Trailblazers,"  2,487,240 "
Jarrett Jack,2008,Portland Trailblazers,"  1,217,400 "
Sergio Rodriguez,2008,Portland Trailblazers,"  817,000 "
Von Wafer,2008,Portland Trailblazers,"  770,610 "
Josh McRoberts,2008,Portland Trailblazers,"  427,163 "
Brad Miller,2008,Sacramento Kings,"  10,500,000 "
Kenny Thomas,2008,Sacramento Kings,"  7,875,000 "
Metta World Peace,2008,Sacramento Kings,"  7,400,000 "
Shareef Abdur-Rahim,2008,Sacramento Kings,"  5,800,000 "
Mikki Moore,2008,Sacramento Kings,"  5,356,000 "
John Salmons,2008,Sacramento Kings,"  4,752,000 "
Tyronn Lue,2008,Sacramento Kings,"  3,500,000 "
DerMarr Johnson,2008,San Antonio Spurs,"  42,203 "
Marcus Williams,2008,San Antonio Spurs,"  12,890 "
Chris Wilcox,2008,Seattle SuperSonics,"  6,500,000 "
Luke Ridnour,2008,Seattle SuperSonics,"  6,500,000 "
Carlos Boozer,2008,Utah Jazz,"  11,260,483 "
Mehmet Okur,2008,Utah Jazz,"  8,500,000 "
Derek Fisher,2008,Utah Jazz,"  6,373,900 "
Matt Harpring,2008,Utah Jazz,"  6,000,000 "
Kyle Korver,2008,Utah Jazz,"  4,400,000 "
Deron Williams,2008,Utah Jazz,"  4,010,640 "
Jarron Collins,2008,Utah Jazz,"  2,350,000 "
Jason Hart,2008,Utah Jazz,"  2,300,000 "
Ronnie Brewer,2008,Utah Jazz,"  1,715,040 "
Ronnie Price,2008,Utah Jazz,"  1,100,000 "
Morris Almond,2008,Utah Jazz,"  1,005,960 "
C.J. Miles,2008,Utah Jazz,"  770,610 "
Kyrylo Fesenko,2008,Utah Jazz,"  750,000 "
Paul Millsap,2008,Utah Jazz,"  687,456 "
Antawn Jamison,2008,Washington Wizards,"  16,360,094 "
Gilbert Arenas,2008,Washington Wizards,"  11,950,400 "
Caron Butler,2008,Washington Wizards,"  8,218,990 "
Etan Thomas,2008,Washington Wizards,"  6,373,900 "
Antonio Daniels,2008,Washington Wizards,"  5,800,000 "
Brendan Haywood,2008,Washington Wizards,"  5,000,000 "
Darius Songaila,2008,Washington Wizards,"  3,942,000 "
Andray Blatche,2008,Washington Wizards,"  2,470,000 "
Oleksiy Pecherov,2008,Washington Wizards,"  1,345,800 "
DeShawn Stevenson,2008,Washington Wizards,"  1,033,930 "
Roger Mason,2008,Washington Wizards,"  798,328 "
Dominic McGuire,2008,Washington Wizards,"  427,163 "
Dan Gadzuric,2008,Milwaukee Bucks,"  5,751,130 "
Andrei Kirilenko,2008,Utah Jazz,"  13,735,000 "
Brian Skinner,2008,Phoenix Suns,"  1,108,718 "
Jamario Moon,2008,Toronto Raptors,"  427,163 "
Joey Graham,2008,Toronto Raptors,"  1,596,600 "
Donyell Marshall,2008,Seattle SuperSonics,"  6,016,965 "
Earl Watson,2008,Seattle SuperSonics,"  5,800,000 "
Nick Collison,2008,Seattle SuperSonics,"  5,750,000 "
Brent Barry,2008,Seattle SuperSonics,"  5,544,370 "
Kevin Durant,2008,Seattle SuperSonics,"  4,171,200 "
Ira Newble,2008,Seattle SuperSonics,"  3,441,900 "
Jeff Green,2008,Seattle SuperSonics,"  3,058,200 "
Francisco Elson,2008,Seattle SuperSonics,"  3,000,000 "
Damien Wilkins,2008,Seattle SuperSonics,"  2,900,000 "
Robert Swift,2008,Seattle SuperSonics,"  2,601,113 "
Mouhamed Sene,2008,Seattle SuperSonics,"  2,105,520 "
Adrian Griffin,2008,Seattle SuperSonics,"  1,593,000 "
Johan Petro,2008,Seattle SuperSonics,"  1,077,120 "
Mickael Gelabale,2008,Seattle SuperSonics,"  802,000 "
