Player,Year,Team, Salary 
Isaiah Rider,2001,Los Angeles Lakers,"  736,000 "
Mark Madsen,2001,Los Angeles Lakers,"  707,040 "
Mike Penberthy,2001,Los Angeles Lakers,"  316,969 "
Stanislav Medvedenko,2001,Los Angeles Lakers,"  316,969 "
Sam Jacobson,2001,Los Angeles Lakers,"  270,000 "
Alonzo Mourning,2001,Miami Heat,"  16,880,000 "
Tim Hardaway,2001,Miami Heat,"  12,000,000 "
Eddie Jones,2001,Miami Heat,"  8,960,000 "
Brian Grant,2001,Miami Heat,"  8,900,000 "
Anthony Mason,2001,Miami Heat,"  5,550,000 "
Dan Majerle,2001,Miami Heat,"  4,050,000 "
Duane Causwell,2001,Miami Heat,"  4,000,000 "
Cedric Ceballos,2001,Miami Heat,"  3,937,500 "
Dale Ellis,2001,Miami Heat,"  2,290,000 "
A.C. Green,2001,Miami Heat,"  2,250,000 "
Anthony Carter,2001,Miami Heat,"  1,200,000 "
Ricky Davis,2001,Miami Heat,"  939,360 "
Don MacLean,2001,Miami Heat,"  798,500 "
Bruce Bowen,2001,Miami Heat,"  733,000 "
Todd Fuller,2001,Miami Heat,"  611,000 "
Eddie House,2001,Miami Heat,"  316,969 "
Jud Buechler,2001,Detroit Pistons,"  3,260,000 "
Jamal Robinson,2001,Miami Heat,"  40,000 "
Chuck Person,2001,Los Angeles Lakers,"  1,200,000 "
Ron Harper,2001,Los Angeles Lakers,"  2,200,000 "
Brian Shaw,2001,Los Angeles Lakers,"  2,250,000 "
Derek Fisher,2001,Los Angeles Lakers,"  3,380,000 "
Al Harrington,2001,Indiana Pacers,"  797,880 "
Tyus Edney,2001,Indiana Pacers,"  523,500 "
Bruno Sundov,2001,Indiana Pacers,"  498,500 "
Lari Ketner,2001,Indiana Pacers,"  423,500 "
Michael Olowokandi,2001,Los Angeles Clippers,"  3,697,440 "
Derek Strong,2001,Los Angeles Clippers,"  3,510,000 "
Darius Miles,2001,Los Angeles Clippers,"  2,841,720 "
Lamar Odom,2001,Los Angeles Clippers,"  2,628,960 "
Eric Piatkowski,2001,Los Angeles Clippers,"  2,200,000 "
Sean Rooks,2001,Los Angeles Clippers,"  2,160,000 "
Cherokee Parks,2001,Los Angeles Clippers,"  2,100,000 "
Keith Closs,2001,Los Angeles Clippers,"  1,920,000 "
Terry Mills,2001,Indiana Pacers,"  1,000,000 "
James Robinson,2001,Los Angeles Clippers,"  1,870,000 "
Corey Maggette,2001,Los Angeles Clippers,"  1,353,960 "
Quentin Richardson,2001,Los Angeles Clippers,"  1,020,960 "
Brian Skinner,2001,Los Angeles Clippers,"  901,800 "
Etdrick Bohannon,2001,Los Angeles Clippers,"  523,500 "
Jeff McInnis,2001,Los Angeles Clippers,"  523,500 "
